Sentence-IPA	Sentence Orthography	Sentence ID	Dialogue	Notes	Speaker ID	Stress of target	Focus type	Dialect	Dialogue element	File path
mɑɾjɑmə «zɑtoɾen» ɑsɑt͡sʰ	Մարիամը «զատորեն» ասաց։	sp01_d102_s3a_tO_a	sp01_d102_s3a_tO		sp01	final stress (adverb)	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp01_d102_s3a_tO_q	sp01_d102_s3a_tO		sp01	final stress (adverb)	object focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «ɡit͡seɾə» ɑsɑt͡sʰ	Մարիամը «գիծերը» ասաց	sp01_d103_s2_tV_a	sp01_d103_s2_tV		sp01	penultimate stress (-ə)	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp01_d103_s2_tV_i	sp01_d103_s2_tV		sp01	penultimate stress (-ə)	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp01_d103_s2_tV_n	sp01_d103_s2_tV		sp01	penultimate stress (-ə)	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «ɡit͡seɾə» kɑɾtʰɑt͡sʰ	Մարիամը «գիծերը» կարդա՞ց։	sp01_d103_s2_tV_q	sp01_d103_s2_tV		sp01	penultimate stress (-ə)	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «zɑtelə» ɑsɑt͡sʰ	Մարիամը «զատելը» ասաց։	sp01_d104_s2_tO_a	sp01_d104_s2_tO		sp01	penultimate stress (-ə)	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp01_d104_s2_tO_q	sp01_d104_s2_tO		sp01	penultimate stress (-ə)	object focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «pʰɑpʰɑɡət» ɑsɑt͡sʰ	Մարիամը «փափագդ» ասաց։	sp01_d105_s2t_tS_a	sp01_d105_s2t_tS		sp01	penultimate stress (-ət)	subject focus	EA	answer	data/data-few-issues/EA
ov «pʰɑpʰɑɡət» ɑsɑt͡sʰ	Ո՞վ «փափագդ» ասաց։	sp01_d105_s2t_tS_q	sp01_d105_s2t_tS		sp01	penultimate stress (-ət)	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «ɡiʃeɾə» ɑsɑt͡sʰ	Մարիամը «գիշերը» ասաց։	sp01_d106_s2_tS_a_?	sp01_d106_s2_tS	background noise	sp01	penultimate stress (-ə)	subject focus	EA	answer	data/data-moderate-issues/noise-mild/EA
ov «ɡiʃeɾə» ɑsɑt͡sʰ	Ո՞վ «գիշերը» ասաց։	sp01_d106_s2_tS_q_?	sp01_d106_s2_tS	background noise	sp01	penultimate stress (-ə)	subject focus	EA	question	data/data-moderate-issues/noise-mild/EA
mɑɾjɑmə «inneɾoɾtʰ» ɑsɑt͡sʰ	Մարիամը «իններորդ» ասաց։	sp01_d107_s1o_tS_a_?	sp01_d107_s1o_tS	background noise	sp01	initial stress (ordinal)	subject focus	EA	answer	data/data-moderate-issues/noise-mild/EA
ov «inneɾoɾtʰ» ɑsɑt͡sʰ	Ո՞վ «իններորդ» ասաց։	sp01_d107_s1o_tS_q	sp01_d107_s1o_tS		sp01	initial stress (ordinal)	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «hɑvɑtɑ» ɑsɑt͡sʰ	Մարիամը «հավատա» ասաց։	sp01_d108_s3_tS_a_?	sp01_d108_s3_tS	background noise	sp01	final stress	subject focus	EA	answer	data/data-moderate-issues/noise-mild/EA
ov «hɑvɑtɑ» ɑsɑt͡sʰ	Ո՞վ «հավատա» ասաց։	sp01_d108_s3_tS_q_?	sp01_d108_s3_tS	background noise	sp01	final stress	subject focus	EA	question	data/data-moderate-issues/noise-mild/EA
mɑɾjɑmə «sutoɾen» ɑsɑt͡sʰ	Մարիամը «սուտորեն» ասաց։	sp01_d109_s3a_tS_a	sp01_d109_s3a_tS		sp01	final stress (adverb)	subject focus	EA	answer	data/data-few-issues/EA
ov «sutoɾen» ɑsɑt͡sʰ	Ո՞վ «սուտորեն» ասաց։	sp01_d109_s3a_tS_q	sp01_d109_s3a_tS		sp01	final stress (adverb)	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «ɡɑɡɑtʰi» ɑsɑt͡sʰ	Մարիամը «գագաթի» ասաց։	sp01_d11_s3_tS_a_?	sp01_d11_s3_tS	background noise	sp01	final stress	subject focus	EA	answer	data/data-moderate-issues/noise-mild/EA
ov «ɡɑɡɑtʰi» ɑsɑt͡sʰ	Ո՞վ «գագաթի» ասաց։	sp01_d11_s3_tS_q	sp01_d11_s3_tS		sp01	final stress	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «ʃiʃeɾə» ɑsɑt͡sʰ	Մարիամը «շիշերը» ասաց։	sp01_d110_s2_tS_a	sp01_d110_s2_tS		sp01	penultimate stress (-ə)	subject focus	EA	answer	data/data-few-issues/EA
ov «ʃiʃeɾə» ɑsɑt͡sʰ	Ո՞վ «շիշերը» ասաց։	sp01_d110_s2_tS_q	sp01_d110_s2_tS		sp01	penultimate stress (-ə)	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «tɑkʰoɾen» ɑsɑt͡sʰ	Մարիամը «տաքորեն» ասաց։	sp01_d111_s3a_tS_a_?	sp01_d111_s3a_tS	background noise	sp01	final stress (adverb)	subject focus	EA	answer	data/data-moderate-issues/noise-mild/EA
ov «tɑkʰoɾen» ɑsɑt͡sʰ	Ո՞վ «տաքորեն» ասաց։	sp01_d111_s3a_tS_q_?	sp01_d111_s3a_tS	background noise	sp01	final stress (adverb)	subject focus	EA	question	data/data-moderate-issues/noise-mild/EA
mɑɾjɑmə «kuteɾi» ɑsɑt͡sʰ	Մարիամը «կուտերի» ասաց։	sp01_d112_s3_tS_a	sp01_d112_s3_tS		sp01	final stress	subject focus	EA	answer	data/data-few-issues/EA
ov «kuteɾi» ɑsɑt͡sʰ	Ո՞վ «կուտերի» ասաց։	sp01_d112_s3_tS_q	sp01_d112_s3_tS		sp01	final stress	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «tɑnikʰi» ɑsɑt͡sʰ	Մարիամը «տանիքի» ասաց։	sp01_d113_s3_tO_a	sp01_d113_s3_tO		sp01	final stress	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp01_d113_s3_tO_q	sp01_d113_s3_tO		sp01	final stress	object focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «kʰit͡ʃʰoɾen» ɑsɑt͡sʰ	Մարիամը «քիչորեն» ասաց	sp01_d114_s3a_tV_a	sp01_d114_s3a_tV		sp01	final stress (adverb)	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp01_d114_s3a_tV_i	sp01_d114_s3a_tV		sp01	final stress (adverb)	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp01_d114_s3a_tV_n	sp01_d114_s3a_tV		sp01	final stress (adverb)	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «kʰit͡ʃʰoɾen» kɑɾtʰɑt͡sʰ	Մարիամը «քիչորեն» կարդա՞ց։	sp01_d114_s3a_tV_q	sp01_d114_s3a_tV		sp01	final stress (adverb)	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «kɑpiki» ɑsɑt͡sʰ	Մարիամը «կապիկի» ասաց	sp01_d115_s3_tV_a	sp01_d115_s3_tV		sp01	final stress	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp01_d115_s3_tV_i	sp01_d115_s3_tV		sp01	final stress	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp01_d115_s3_tV_n	sp01_d115_s3_tV		sp01	final stress	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «kɑpiki» kɑɾtʰɑt͡sʰ	Մարիամը «կապիկի» կարդա՞ց։	sp01_d115_s3_tV_q	sp01_d115_s3_tV		sp01	final stress	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «pʰɑpʰuki» ɑsɑt͡sʰ	Մարիամը «փափուկի» ասաց։	sp01_d116_s3_tS_a	sp01_d116_s3_tS		sp01	final stress	subject focus	EA	answer	data/data-few-issues/EA
ov «pʰɑpʰuki» ɑsɑt͡sʰ	Ո՞վ «փափուկի» ասաց։	sp01_d116_s3_tS_q	sp01_d116_s3_tS		sp01	final stress	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «t͡ʃɑʃɑkət» ɑsɑt͡sʰ	Մարիամը «ճաշակդ» ասաց։	sp01_d117_s2t_tO_a	sp01_d117_s2t_tO		sp01	penultimate stress (-ət)	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp01_d117_s2t_tO_q	sp01_d117_s2t_tO		sp01	penultimate stress (-ət)	object focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «tʰɑtʰiki» ɑsɑt͡sʰ	Մարիամը «թաթիկի» ասաց։	sp01_d118_s3_tS_a	sp01_d118_s3_tS		sp01	final stress	subject focus	EA	answer	data/data-few-issues/EA
ov «tʰɑtʰiki» ɑsɑt͡sʰ	Ո՞վ «թաթիկի» ասաց։	sp01_d118_s3_tS_q	sp01_d118_s3_tS		sp01	final stress	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «hɑtuki» ɑsɑt͡sʰ	Մարիամը «հատուկի» ասաց	sp01_d119_s3_tV_a	sp01_d119_s3_tV		sp01	final stress	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp01_d119_s3_tV_i	sp01_d119_s3_tV		sp01	final stress	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp01_d119_s3_tV_n	sp01_d119_s3_tV		sp01	final stress	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «hɑtuki» kɑɾtʰɑt͡sʰ	Մարիամը «հատուկի» կարդա՞ց։	sp01_d119_s3_tV_q	sp01_d119_s3_tV		sp01	final stress	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «utʰeɾoɾtʰ» ɑsɑt͡sʰ	Մարիամը «ութերորդ» ասաց։	sp01_d12_s1o_tO_a	sp01_d12_s1o_tO		sp01	initial stress (ordinal)	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp01_d12_s1o_tO_q	sp01_d12_s1o_tO		sp01	initial stress (ordinal)	object focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «suteɾə» ɑsɑt͡sʰ	Մարիամը «սուտերը» ասաց։	sp01_d120_s2_tO_a	sp01_d120_s2_tO		sp01	penultimate stress (-ə)	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp01_d120_s2_tO_q	sp01_d120_s2_tO		sp01	penultimate stress (-ə)	object focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «ditelə» ɑsɑt͡sʰ	Մարիամը «դիտելը» ասաց	sp01_d121_s2_tV_a	sp01_d121_s2_tV		sp01	penultimate stress (-ə)	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp01_d121_s2_tV_i	sp01_d121_s2_tV		sp01	penultimate stress (-ə)	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp01_d121_s2_tV_n	sp01_d121_s2_tV		sp01	penultimate stress (-ə)	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «ditelə» kɑɾtʰɑt͡sʰ	Մարիամը «դիտելը» կարդա՞ց։	sp01_d121_s2_tV_q	sp01_d121_s2_tV		sp01	penultimate stress (-ə)	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «kʰɑkelu» ɑsɑt͡sʰ	Մարիամը «քակելու» ասաց։	sp01_d122_s3_tS_a	sp01_d122_s3_tS		sp01	final stress	subject focus	EA	answer	data/data-few-issues/EA
ov «kʰɑkelu» ɑsɑt͡sʰ	Ո՞վ «քակելու» ասաց։	sp01_d122_s3_tS_q	sp01_d122_s3_tS		sp01	final stress	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «χɑnutʰi» ɑsɑt͡sʰ	Մարիամը «խանութի» ասաց։	sp01_d123_s3_tO_a_?	sp01_d123_s3_tO	background noise	sp01	final stress	object focus	EA	answer	data/data-moderate-issues/noise-mild/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp01_d123_s3_tO_q_0	sp01_d123_s3_tO	background noise	sp01	final stress	object focus	EA	question	data/data-severe-issues/noise-extreme/EA
mɑɾjɑmə «t͡ʃɑʃɑkət» ɑsɑt͡sʰ	Մարիամը «ճաշակդ» ասաց։	sp01_d124_s2t_tS_a	sp01_d124_s2t_tS		sp01	penultimate stress (-ət)	subject focus	EA	answer	data/data-few-issues/EA
ov «t͡ʃɑʃɑkət» ɑsɑt͡sʰ	Ո՞վ «ճաշակդ» ասաց։	sp01_d124_s2t_tS_q	sp01_d124_s2t_tS		sp01	penultimate stress (-ət)	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «hɑtiki» ɑsɑt͡sʰ	Մարիամը «հատիկի» ասաց։	sp01_d125_s3_tS_a	sp01_d125_s3_tS		sp01	final stress	subject focus	EA	answer	data/data-few-issues/EA
ov «hɑtiki» ɑsɑt͡sʰ	Ո՞վ «հատիկի» ասաց։	sp01_d125_s3_tS_q	sp01_d125_s3_tS		sp01	final stress	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «t͡ʃɑkɑtət» ɑsɑt͡sʰ	Մարիամը «ճակատդ» ասաց։	sp01_d126_s2t_tO_a	sp01_d126_s2t_tO		sp01	penultimate stress (-ət)	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp01_d126_s2t_tO_q	sp01_d126_s2t_tO		sp01	penultimate stress (-ət)	object focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «hɑsɑkəs» ɑsɑt͡sʰ	Մարիամը «հասակս» ասաց։	sp01_d127_s2s_tO_a	sp01_d127_s2s_tO		sp01	penultimate stress (-əs)	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp01_d127_s2s_tO_q	sp01_d127_s2s_tO		sp01	penultimate stress (-əs)	object focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «hɑtikət» ɑsɑt͡sʰ	Մարիամը «հատիկդ» ասաց։	sp01_d128_s2t_tS_a	sp01_d128_s2t_tS		sp01	penultimate stress (-ət)	subject focus	EA	answer	data/data-few-issues/EA
ov «hɑtikət» ɑsɑt͡sʰ	Ո՞վ «հատիկդ» ասաց։	sp01_d128_s2t_tS_q	sp01_d128_s2t_tS		sp01	penultimate stress (-ət)	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «hisusi» ɑsɑt͡sʰ	Մարիամը «Հիսուսի» ասաց։	sp01_d129_s3_tS_a	sp01_d129_s3_tS		sp01	final stress	subject focus	EA	answer	data/data-few-issues/EA
ov «hisusi» ɑsɑt͡sʰ	Ո՞վ «Հիսուսի» ասաց։	sp01_d129_s3_tS_q	sp01_d129_s3_tS		sp01	final stress	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «kʰitʰeɾə» ɑsɑt͡sʰ	Մարիամը «քիթերը» ասաց։	sp01_d13_s2_tO_a	sp01_d13_s2_tO		sp01	penultimate stress (-ə)	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp01_d13_s2_tO_q	sp01_d13_s2_tO		sp01	penultimate stress (-ə)	object focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «tupʰeɾi» ɑsɑt͡sʰ	Մարիամը «տուփերի» ասաց։	sp01_d130_s3_tS_a	sp01_d130_s3_tS		sp01	final stress	subject focus	EA	answer	data/data-few-issues/EA
ov «tupʰeɾi» ɑsɑt͡sʰ	Ո՞վ «տուփերի» ասաց։	sp01_d130_s3_tS_q	sp01_d130_s3_tS		sp01	final stress	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «tɑseɾoɾtʰ» ɑsɑt͡sʰ	Մարիամը «տասերորդ» ասաց։	sp01_d131_s2t_tO_a	sp01_d131_s2t_tO		sp01	penultimate stress (-ət)	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp01_d131_s2t_tO_q	sp01_d131_s2t_tO		sp01	penultimate stress (-ət)	object focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «hɑsɑkəs» ɑsɑt͡sʰ	Մարիամը «հասակս» ասաց։	sp01_d132_s2s_tS_a	sp01_d132_s2s_tS		sp01	penultimate stress (-əs)	subject focus	EA	answer	data/data-few-issues/EA
ov «hɑsɑkəs» ɑsɑt͡sʰ	Ո՞վ «հասակս» ասաց։	sp01_d132_s2s_tS_q	sp01_d132_s2s_tS		sp01	penultimate stress (-əs)	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «pɑɾɑpi» ɑsɑt͡sʰ	Մարիամը «պարապի» ասաց։	sp01_d133_s3_tS_a	sp01_d133_s3_tS		sp01	final stress	subject focus	EA	answer	data/data-few-issues/EA
ov «pɑɾɑpi» ɑsɑt͡sʰ	Ո՞վ «պարապի» ասաց։	sp01_d133_s3_tS_q	sp01_d133_s3_tS		sp01	final stress	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «kʰitʰeɾi» ɑsɑt͡sʰ	Մարիամը «քիթերի» ասաց։	sp01_d134_s3_tO_a_?	sp01_d134_s3_tO	background nouse	sp01	final stress	object focus	EA	answer	data/data-moderate-issues/noise-mild/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp01_d134_s3_tO_q_?	sp01_d134_s3_tO	background nouse	sp01	final stress	object focus	EA	question	data/data-moderate-issues/noise-mild/EA
mɑɾjɑmə «bɑt͡sʰɑkɑ» ɑsɑt͡sʰ	Մարիամը «բացակա» ասաց։	sp01_d135_s3_tS_a_?	sp01_d135_s3_tS	background noise	sp01	final stress	subject focus	EA	answer	data/data-moderate-issues/noise-mild/EA
ov «bɑt͡sʰɑkɑ» ɑsɑt͡sʰ	Ո՞վ «բացակա» ասաց։	sp01_d135_s3_tS_q_?	sp01_d135_s3_tS	background noise	sp01	final stress	subject focus	EA	question	data/data-moderate-issues/noise-mild/EA
mɑɾjɑmə «tikini» ɑsɑt͡sʰ	Մարիամը «տիկինի» ասաց։	sp01_d136_s3_tS_a	sp01_d136_s3_tS		sp01	final stress	subject focus	EA	answer	data/data-few-issues/EA
ov «tikini» ɑsɑt͡sʰ	Ո՞վ «տիկինի» ասաց։	sp01_d136_s3_tS_q	sp01_d136_s3_tS		sp01	final stress	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «koʃikəs» ɑsɑt͡sʰ	Մարիամը «կոշիկս» ասաց	sp01_d137_s2s_tV_a	sp01_d137_s2s_tV		sp01	penultimate stress (-əs)	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp01_d137_s2s_tV_i	sp01_d137_s2s_tV		sp01	penultimate stress (-əs)	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp01_d137_s2s_tV_n	sp01_d137_s2s_tV		sp01	penultimate stress (-əs)	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «koʃikəs» kɑɾtʰɑt͡sʰ	Մարիամը «կոշիկս» կարդա՞ց։	sp01_d137_s2s_tV_q	sp01_d137_s2s_tV		sp01	penultimate stress (-əs)	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «zɑtelu» ɑsɑt͡sʰ	Մարիամը «զատելու» ասաց	sp01_d138_s3_tV_a	sp01_d138_s3_tV		sp01	final stress	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp01_d138_s3_tV_i	sp01_d138_s3_tV		sp01	final stress	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp01_d138_s3_tV_n	sp01_d138_s3_tV		sp01	final stress	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «zɑtelu» kɑɾtʰɑt͡sʰ	Մարիամը «զատելու» կարդա՞ց։	sp01_d138_s3_tV_q	sp01_d138_s3_tV		sp01	final stress	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «pʰɑpʰɑɡi» ɑsɑt͡sʰ	Մարիամը «փափագի» ասաց	sp01_d139_s3_tV_a	sp01_d139_s3_tV		sp01	final stress	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp01_d139_s3_tV_i	sp01_d139_s3_tV		sp01	final stress	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp01_d139_s3_tV_n	sp01_d139_s3_tV		sp01	final stress	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «pʰɑpʰɑɡi» kɑɾtʰɑt͡sʰ	Մարիամը «փափագի» կարդա՞ց։	sp01_d139_s3_tV_q_0	sp01_d139_s3_tV	stutter	sp01	final stress	verb focus	EA	question	data/data-severe-issues/stutter-or-missing-sound/EA
mɑɾjɑmə «kuteɾi» ɑsɑt͡sʰ	Մարիամը «կուտերի» ասաց	sp01_d14_s3_tV_a_?	sp01_d14_s3_tV	background noise	sp01	final stress	verb focus	EA	answer	data/data-moderate-issues/noise-mild/EA
vot͡ʃʰ	Ոչ	sp01_d14_s3_tV_i_?	sp01_d14_s3_tV	background noise	sp01	final stress	verb focus	EA	interjection	data/data-moderate-issues/noise-mild/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp01_d14_s3_tV_n_?	sp01_d14_s3_tV	background noise	sp01	final stress	verb focus	EA	negation	data/data-moderate-issues/noise-mild/EA
mɑɾjɑmə «kuteɾi» kɑɾtʰɑt͡sʰ	Մարիամը «կուտերի» կարդա՞ց։	sp01_d14_s3_tV_q_?	sp01_d14_s3_tV	background noise	sp01	final stress	verb focus	EA	question	data/data-moderate-issues/noise-mild/EA
mɑɾjɑmə «ditelu» ɑsɑt͡sʰ	Մարիամը «դիտելու» ասաց	sp01_d140_s3_tV_a	sp01_d140_s3_tV		sp01	final stress	verb focus	EA	answer	data/data-few-issues/EA
vot͡ʃʰ	Ոչ	sp01_d140_s3_tV_i	sp01_d140_s3_tV		sp01	final stress	verb focus	EA	interjection	data/data-few-issues/EA
t͡ʃʰəkɑɾtʰɑt͡sʰ	չկարդաց։	sp01_d140_s3_tV_n	sp01_d140_s3_tV		sp01	final stress	verb focus	EA	negation	data/data-few-issues/EA
mɑɾjɑmə «ditelu» kɑɾtʰɑt͡sʰ	Մարիամը «դիտելու» կարդա՞ց։	sp01_d140_s3_tV_q	sp01_d140_s3_tV		sp01	final stress	verb focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «χɑnutʰi» ɑsɑt͡sʰ	Մարիամը «խանութի» ասաց։	sp01_d141_s3_tO_a	sp01_d141_s3_tO		sp01	final stress	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp01_d141_s3_tO_q	sp01_d141_s3_tO		sp01	final stress	object focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «ɡit͡seɾə» ɑsɑt͡sʰ	Մարիամը «գիծերը» ասաց։	sp01_d142_s2_tS_a	sp01_d142_s2_tS		sp01	penultimate stress (-ə)	subject focus	EA	answer	data/data-few-issues/EA
ov «ɡit͡seɾə» ɑsɑt͡sʰ	Ո՞վ «գիծերը» ասաց։	sp01_d142_s2_tS_q	sp01_d142_s2_tS		sp01	penultimate stress (-ə)	subject focus	EA	question	data/data-few-issues/EA
mɑɾjɑmə «mutʰoɾen» ɑsɑt͡sʰ	Մարիամը «մութորեն» ասաց։	sp01_d143_s3a_tO_a	sp01_d143_s3a_tO		sp01	final stress (adverb)	object focus	EA	answer	data/data-few-issues/EA
mɑɾjɑmə int͡ʃʰ ɑsɑt͡sʰ	Մարիամը ի՞նչ ասաց։	sp01_d143_s3a_tO_q	sp01_d143_s3a_tO		sp01	final stress (adverb)	object focus	EA	question	data/data-few-issues/EA
